id_title;title;commentCount;dislikeCount;likeCount;viewCount;commentators_uniq;comments_obscene_cnt;video_age
101;"""#2Маши ""Свободные линии""";34;43;1402;214301;24;0;1141
102;"""ALARM"" СЕРГЕЙ ЛАЗАРЕВ ( SERGEY LAZAREV )";;690;10532;2221419;;;3217
103;"""EARTH SONG"" SERGEY LAZAREV. DEDICATED TO MICHAEL JACKSON ( Cover version)";26;10;269;40327;23;0;3546
104;"""Earth song"" премия МУЗ-тВ 2010 (LIVE)";12;7;163;11907;11;0;3189
105;"""FAKE"" СЕРГЕЙ ЛАЗАРЕВ (SERGEY)";46;19;597;91483;33;1;3361
106;"""Feelin High"" Сергей Лазарев Sergey Lazarev live";7;7;87;9217;6;0;3179
107;"""Girlfriend"" Сергей Лазарев (SERGEY)";88;69;1566;449891;63;1;4013
108;"""Heartbeat"" Сергей Лазарев (Sergey Lazarev)";168;101;4091;763611;130;0;2948
109;"""Hey Tovarish"" Video Shooting";10;1;34;3815;9;0;2539
110;"""LAZERBOY"" Сергей Лазарев (SERGEY) feat. TИМАТИ (Timati)";422;229;4137;629212;223;6;3765
111;"""LAZERBOY""( Michael Yousher videoremix) Сергей Лазарев (SERGEY) и ТИМАТИ";5;4;141;35902;5;1;3608
112;"""Lost without your love"" Сергей Лазарев (SERGEY)";189;102;2599;582159;119;4;3308
113;"""Love Radio"": Съемки клипа НЮШИ ""Наедине""";25;14;283;58496;24;0;2165
114;"""Ru Music"": НЮША сняла новый клип!";12;4;87;14780;9;0;2180
115;"""Ru Новости"": НЮША чудом вернулась в Москву!";5;5;49;4625;5;1;2179
116;"""SOS Матросу!"" - тизер фильма";10;4;68;7632;5;0;1739
117;"""STEREO"" (LIVE) Сергей Лазарев (SERGEY)";30;10;541;117765;26;1;3522
118;"""Shattered dreams"" Сергей Лазарев (SERGEY)";57;28;961;109955;35;1;3603
119;"""Tv or radio"" Сергей Лазарев (SERGEY)";627;157;3714;634676;277;7;4189
120;"""You Are The Only One"" - Sergey Lazarev /MadWalk Fashion Music Show";156;96;2203;165878;101;0;1056
121;"""Аве Мария"" Весь зал плакал. Вика 11 лет";3865;8603;47974;10674427;1568;11;2636
122;"""Антоха МС - Советы для молодожёнов /2017/""";11;12;288;8316;10;0;529
123;"""Большая семья"" Игоря Крутого - часть 1";0;9;44;50344;;;3051
124;"""Большая семья"" Игоря Крутого - часть 2";1;1;27;23952;1;0;3051
125;"""Большая семья"" Игоря Крутого - часть 3";0;10;79;59858;;;3051
126;"""Большая семья"" Игоря Крутого - часть 4";1;2;24;20127;;;3051
127;"""Большая семья"" Игоря Крутого - часть 6";1;7;74;24009;;;3051
128;"""Большая семья"" Игоря Крутого - часть 7";0;2;20;15374;;;3051
129;"""Большая семья"" Игоря Крутого - часть 8";10;27;196;58941;;;3051
130;"""Большая семья"" Игоря Крутого - часть 9";2;5;48;59618;1;0;3051
131;"""Большая семья"" Игоря Николаева - часть 2";3;36;169;57176;3;0;2832
132;"""Большая семья"" Игоря Николаева - часть 1";1;77;327;176854;1;0;2833
133;"""Большая семья"" Игоря Николаева - часть 3";15;104;447;113002;1;0;2832
134;"""В теме"" на Ю: НЮША";1;5;30;6639;1;0;2302
135;"""В теме"" на Ю: НЮША любимый артист портала Woman.ru";7;9;138;20575;;;2102
136;"""ВИА Гра. Тайны производства"" (""Моя правда"" на ""СТБ"")";16;10;52;53248;12;0;2713
137;"""ВОИН ДУМА""";4;0;49;1950;;;3819
138;"""Вечерний Ургант"" Валерия в гостях у Ивана Урганта.";3;;;1993;3;0;1184
139;"""Виктор Цой. 50 лет"" Кукрыниксы - Печаль, Кончится лето...";2;4;65;9986;2;0;2351
140;"""Владимирский Централ"" песня под гитару";24;2;156;8489;10;0;1422
141;"""Всё, что было"". Начало.";23;5;171;11168;21;1;2351
142;"""Где ты"" [Москва, 2012г.]";5;3;79;11124;5;0;1990
143;"""Глаза - убийцы"". Первые впечатления";3;11;32;6845;16;1;2849
144;"""Глаза - убийцы"". Первые впечатления";4;13;7;2657;16;1;2850
145;"""Глаза - убийцы"". Первые впечатления";11;40;42;11713;16;1;2850
146;"""Глаза - убийцы"". Первые впечатления";1;10;23;5621;16;1;2850
147;"""Глаза - убийцы"". Первые впечатления";5;13;46;7316;16;1;2850
148;"""Говорим и показываем"". Бенефис ВАЛЕРИИ! НТВ 2012";4;1;56;12013;4;0;2522
149;"""Горыгоры"" - вторая песня, записанная на съемках ""Вечернего Урганта""";2;1;55;3145;;;1933
150;"""ДОЧКИ МАТЕРИ"" (Audio) - гр. ""Воровайки"". Слова Виктории В. Ветровой, муз. Юрия Алмазова";0;2;4;912;;;439
151;"""ДОстояние РЕспублики"" - Игорь Николаев (1)";7;19;80;51883;;;2818
152;"""ДОстояние РЕспублики"" - Игорь Николаев (2)";0;9;61;32876;;;2818
153;"""ДОстояние РЕспублики"" - Игорь Николаев (3)";0;4;56;20254;;;2818
154;"""ДОстояние РЕспублики"" - Игорь Николаев (4)";5;41;211;75659;2;0;2818
155;"""Давайте мириться"" [2011г.]";0;1;16;6877;;;2122
156;"""Дерево Победы 2013"" в Челябинске";1;2;11;1697;1;0;2156
157;"""Дивизия"" приглашает на ""Городских Птичек""";0;2;4;621;;;824
158;"""Дивизия"" приглашает на фестиваль ""Троица""";1;3;13;704;1;0;1002
159;"""Донбасс - моя Спарта"". Документальный проект Максима Фадеева и Юлии Чичериной";73;78;923;35426;55;0;594
160;"""Дорога от души к душе"" [Зеленоград, 2013г.]";8;9;201;48737;8;0;2121
161;"""Ещё не вечер. Отдам все за жилье"" (Елена Ваенга) 18.11.2011.";23;33;826;125432;10;0;2665
162;"""Женский взгляд"" Игорь Николаев и Юля Проскурякова (1)";17;49;151;79452;1;0;3015
163;"""Женский взгляд"" Игорь Николаев и Юля Проскурякова (2)";5;93;410;167596;2;0;3015
164;"""Женский взгляд"" Игорь Николаев и Юля Проскурякова (3)";0;40;185;64957;;;3015
165;"""Живут же люди!"" на НТВ [2010г.]";32;43;478;321200;29;1;2148
166;"""Живут же люди"" Игорь Николаев и Юля Проскурякова (1)";13;49;149;121513;2;0;3043
167;"""Живут же люди"" Игорь Николаев и Юля Проскурякова (2)";1;10;77;57339;;;3043
168;"""Живут же люди"" Игорь Николаев и Юля Проскурякова (3)";10;382;1403;904618;10;0;3043
169;"""Заноза"" (запись новой песни Би-2 на студии ""Stasrecords"")";11;2;195;28912;9;0;3175
170;"""Звёздный ринг"" [2010г.]";4;2;48;9235;3;0;2120
171;"""КРАЯ РОДНЫЕ"" гр. ""Воровайки"", слова Виктории В. Ветровой, музыка Юрия Алмазова";0;0;1;418;;;479
172;"""Как уходили кумиры.Михаил Круг"" [2007г.]";1;3;43;17046;1;0;2086
173;"""Комсомольская правда"": НЮША";9;7;129;16794;9;0;2186
174;"""Королевство Кривых Зеркал"" Игорь Николаев (1988г.)";10;14;427;93914;6;0;2450
175;"""Король и Шут"" - 15 лет";5;0;62;6547;5;0;3817
176;"""Кто хочет стать миллионером"" И. Николаев и Ю. Проскурякова";1;7;14;5499;1;0;2028
177;"""Лето"" 2018 | фильм Кирилла Серебренникова | тизер";36;28;335;36629;19;1;310
178;"""Личные вещи"" Игоря Николаева";2;24;96;27241;2;0;2876
179;"""Лучшее видео""- Валерия и Валерий Меладзе ""Не теряй меня"" Муз-Тв 2014";0;2;23;6208;;;1741
180;"""Любить не страшно"" [Зеленоград, 2013г.]";10;5;167;27273;9;0;1977
181;"""М1"": НЮША сняла клип в Киеве!";20;5;138;21862;13;0;2174
